,year,spot_price
0,2020,0.0
1,2021,88.33020739777125
2,2022,219.5511025667986
3,2023,135.6154328505085
4,2024,65.30282994680998
5,2025,50.71296484429255
6,2026,47.109443945478
7,2027,55.459065540292194
8,2028,45.000065858367044
9,2029,34.1895031619234
10,2030,31.5527805530347
11,2031,28.65238568325714
12,2032,28.65238568325714
13,2033,28.65238568325714
14,2034,28.65238568325714
15,2035,28.65238568325714
16,2036,28.65238568325714
17,2037,28.65238568325714
18,2038,28.65238568325714
19,2039,28.65238568325714
20,2040,28.65238568325714
